0	Plastic bottle
0	It does have a convenient squirt top
0	But overall , not very hot or tasty , and made mostly from jalapentildeos
0	The product looks more like a stew than a processed meat and it smells better
0	Product arrived labeled as Jumbo Salted Peanutsthe peanuts were actually small sized unsalted
0	Not sure if this was an error or if the vendor intended to represent the product as Jumbo
0	This is a confection that has been around a few centuries
0	It is a light , pillowy citrus gelatin with nuts   in this case Filberts
0	And it is cut into tiny squares and then liberally coated with powdered sugar
0	And it is a tiny mouthful of heaven
0	Not too chewy , and very flavorful
0	I highly recommend this yummy treat
0	The flavor is very medicinal
0	Great taffy at a great price
0	There was a wide assortment of yummy taffy
0	Delivery was very quick
0	If your a taffy lover , this is a deal
0	I got a wild hair for taffy and ordered this five pound bag
0	The taffy was all very enjoyable with many flavors watermelon , root beer , melon , peppermint , grape , etc
0	I would recommend this brand of taffy   it was a delightful treat
0	This saltwater taffy had great flavors and was very soft and chewy
0	Each candy was individually wrapped well
0	None of the candies were stuck together , which did happen in the expensive version , Fralinger 's
0	Would highly recommend this candy
0	I served it at a beachthemed party and everyone loved it
0	This taffy is so good
0	It is very soft and chewy
0	The flavors are amazing
0	Very satisfying
0	
0	They love it
0	This is a very healthy dog food
0	Good for their digestion
0	Also good for small puppies
0	I do n't know if it 's the cactus or the tequila or just the unique combination of ingredients , but the flavour of this hot sauce makes it one of a kind
0	One of my boys needed to lose some weight and the other did n't
0	The higher food sits going stale
0	They both really go for this food
0	And my chubby boy has been losing about an ounce a week
0	I just got a new bag and the shape of the food is different
0	I 've noticed similar reviews related to formula changes in the past
0	good flavor
0	these came securely packed they were fresh and delicious
0	i love these Twizzlers
0	The Strawberry Twizzlers are my guilty pleasure   yummy
0	My daughter loves twizzlers and this shipment of six pounds really hit the spot
0	It 's exactly what you would expectsix packages of strawberry twizzlers
0	It is not too sweet
0	I will definitely be ordering more
0	According to the Guinness Book of Records , the longest Licorice Twist ever made measured 1200 Feet 370 M and weighted 100 Pounds 45 Kg and was made by Y   S Candies , Inc
0	This RecordBreaking Twist became a Guinness World Record on July 19 , 1998
0	This Product is Kosher
0	Thank You
0	Candy was delivered very fast and was purchased at a reasonable price
0	My husband is a Twizzlers addict
0	They 've always been fresh and tasty , packed well and arrive in a timely manner
0	a hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers , Strawberry , 16Ounce Bags Pack of 6a
0	Still a superb product you wo n't be disappointed with
0	I love this candy
0	After weight watchers I had to cut back but still have a craving for it
0	Product received is as advertisedbr br a hrefhttpwwwamazoncomgpproductB001GVISJMTwizzlers , Strawberry , 16Ounce Bags Pack of 6a
0	The candy is just red , No flavor
0	Just plan and chewy
0	I do n't know if it 's the cactus or the tequila or just the unique combination of ingredients , but the flavour of this hot sauce makes it one of a kind
0	I have never been a huge coffee fan
0	br The little Dolche Guesto Machine is super easy to use and prepares a really good CoffeeLatteCappuccinoetc in less than a minute if water is heated up
0	I would recommend the Dolce Gusto to anyone
0	Too good for the price and I'am getting one myself
0	
0	This offer is a great price and a great taste , thanks Amazon for selling this productbr br Staral
0	There is no escaping the fact , however , that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation
0	Still , the McCann 's is as good as it gets for instant oatmeal
0	It 's even better than the organic , allnatural brands I have tried
0	All the varieties in the McCann 's variety pack taste good
0	Real sugar tastes better and is not as harmful as the other stuff
0	Oats plus water plus heat should make a creamy , tasty oatmeal without the need for guar gum
0	But this is a convenience product
0	Maybe the guar gum is why , after sitting in the bowl a while , the instant McCann 's becomes too thick and gluey
0	This is a good instant oatmeal from the best oatmeal brand
0	It uses cane sugar instead of high fructouse corn syrup , so not only does it have a better sweetness , but some doctors now say that this form of sugar is better for you
0	The apple cinnamon is the best but the maple and brown sugar or the regular are good too
0	Plus they do n't require doctoring to actually tell the three flavors apart
0	Instant oatmeal can become soggy the minute the water hits the bowl
0	McCann 's regular oat meal is excellent , too , but may take a bit longer to prepare than most have time for in the morning
0	For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store
0	br br Thanks , br Abby
0	What else do you need to know
0	Oatmeal , instant make it with a half cup of lowfat milk and add raisinsnuke for 90 seconds
0	More expensive than Kroger store brand oatmeal and maybe a little tastier or better texture or something
0	It 's still just oatmeal
0	Mmm , convenient
0	FOUND IT TO BE VERY TASTEFULL WHEN MADE WITH WATER OR POWDERED MILK
0	IT GOES GOOD WITH OJ
0	She has this almost every morning and likes all flavors
0	br a hrefhttpwwwamazoncomgpproductB001EO5QW8McCANN 'S Instant Irish Oatmeal , Variety Pack of Regular , Apples   Cinnamon , and Maple   Brown Sugar , 10Count Boxes Pack of 6a
0	Convenient , healthy , very quick , excellent quality , and extremely cheap
0	McCann 's makes oatmeal for every oatmeal connoisseur , whether one likes it from the raw pellet state that cooks for half an hour , to the sloth addled instant , which can be done in the microwave for under three minutes
0	Tastes great and very healthy
0	McCann 's Oatmeal is a good quality choice
0	For a good hot breakfast in 2 minutes , this is excellent
0	This seems a little more wholesome than some of the supermarket brands , but it is somewhat mushy and does n't have quite as much flavor either
0	Good oatmeal
0	I like the apple cinnamon the best
0	The flavors are good
